match.opponent,dayLabel,hourLabel,match.opponentLogo,match.link
JUCO Jamboree,10/4/2025,,1,
Southwest Showcase,10/11/2025,,2,
Midwest SC,10/19/2025,,3,
Salt Lake,10/31/2025,,4,
Colorado NW,11/1/2025,,5,
North Platte,11/12/2025,,6,
Trinidad ,11/14/2025,,7,
Laramie ,11/15/2025,,8,
Barton ,11/19/2025,5:30PM,9,8:30 PM
Cowley ,11/22/2025,1:00PM,10,4:00 PM
Cloud ,11/29/2025,2:00PM,11,5:00 PM
Colby ,12/3/2025,5:30PM,12,8:30 PM
Coffeyville ,12/6/2025,2:00PM,13,5:00 PM
Hutchinson ,12/10/2025,5:30PM,14,8:30 PM
Pratt Community,12/13/2025,2:00PM,15,5:00 PM
FH Tech NW,1/3/2026,1:00PM,16,4:00 PM
Garden ,1/7/2026,5:30PM,17,8:30 PM
Butler ,1/10/2026,2:00PM,18,5:00 PM
Independence,1/14/2026,5:30PM,19,8:30 PM
Seward,1/17/2026,1:00PM,20,4:00 PM
Barton ,1/21/2026,5:30PM,21,8:30 PM
Cowley,1/24/2026,2:00PM,22,5:00 PM
Cloud,1/31/2026,1:00PM,23,4:00 PM
Colby,2/4/2026,5:30PM,24,8:30 PM
Coffeyville,2/7/2026,1:00PM,25,4:00 PM
Hutchinson,2/11/2026,5:30PM,26,8:30 PM
Pratt,2/14/2026,1:00PM,27,4:00 PM
FH Tech NW,2/18/2026,6:30PM,28,9:30 PM
Garden City,2/21/2026,2:00PM,29,5:00 PM
Butler,2/25/2026,5:30PM,30,8:30 PM
Independence,2/28/2026,1:00PM,31,4:00 PM
Seward,3/4/2026,5:30PM,32,8:30 PM
